// Start Time: Unknown
// Update Rate: 100.0Hz
// Filter Profile: human (46.1)
// Firmware Version: 4.3.5
PacketCounter,SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,Roll,Pitch,Yaw
38596,,9.352078,-2.724967,1.689051,0.094064,0.012388,-0.004412,-57.846007,-71.017091,-17.247143
38597,,9.320842,-2.681065,1.676605,0.070797,0.009022,-0.007629,-57.785956,-71.018037,-17.267751
38598,,9.333902,-2.726252,1.679682,0.060175,0.013519,-0.008927,-57.724777,-71.017834,-17.296305
38599,,9.393225,-2.809042,1.679556,0.052629,0.011933,-0.017297,-57.662421,-71.022557,-17.330358
38600,,9.360382,-2.841509,1.617100,0.059813,0.010582,-0.015791,-57.599671,-71.026919,-17.360530
38601,,9.327516,-2.848302,1.623281,0.058818,0.011753,-0.014197,-57.536748,-71.030173,-17.391432
38602,,9.317971,-2.823651,1.591419,0.060080,0.009473,-0.014642,-57.478712,-71.034037,-17.416715
38603,,9.273460,-2.859300,1.582120,0.060666,0.007289,-0.012362,-57.422618,-71.037761,-17.439275
38604,,9.278781,-2.805071,1.599489,0.066326,0.004667,-0.008840,-57.376866,-71.039948,-17.448224
38605,,9.206338,-2.797621,1.608354,0.069911,0.001003,-0.016311,-57.320722,-71.047507,-17.465235
38606,,9.264649,-2.804316,1.622021,0.059041,-0.008744,-0.014100,-57.297342,-71.055985,-17.455402
38607,,9.362815,-2.825156,1.631602,0.052788,-0.012618,-0.022919,-57.264137,-71.070941,-17.458531
38608,,9.381872,-2.816665,1.647610,0.044917,-0.004495,-0.029404,-57.233643,-71.085000,-17.465288
38609,,9.286801,-2.865502,1.624869,0.039534,-0.002980,-0.031782,-57.186392,-71.101233,-17.491292
38610,,9.301021,-2.908772,1.625851,0.036610,-0.012098,-0.035777,-57.171087,-71.119895,-17.487640
38611,,9.333579,-2.946549,1.641904,0.043478,-0.012363,-0.035400,-57.131398,-71.140777,-17.503257
38612,,9.349614,-2.939044,1.623006,0.048098,-0.015849,-0.025290,-57.132550,-71.153607,-17.476166
38613,,9.325830,-2.917557,1.607571,0.057840,-0.011031,-0.026643,-57.090670,-71.169857,-17.485401
38614,,9.253915,-2.883012,1.683261,0.062823,-0.013537,-0.020391,-57.094115,-71.177697,-17.448023
38615,,9.294337,-2.894844,1.680147,0.054436,-0.021227,-0.011034,-57.082811,-71.189612,-17.427015
38616,,9.316381,-2.886272,1.729758,0.053847,-0.015035,-0.007590,-57.111817,-71.189268,-17.368831
38617,,9.354953,-2.822923,1.741007,0.050277,-0.013347,-0.010843,-57.091957,-71.198638,-17.359381
38618,,9.322345,-2.830488,1.744776,0.037229,-0.008907,-0.008590,-57.123880,-71.194556,-17.308296
38619,,9.354060,-2.870985,1.761077,0.026907,-0.007527,-0.003789,-57.115645,-71.198720,-17.300709
38620,,9.379109,-2.888271,1.776865,0.021844,-0.007093,-0.005033,-57.156857,-71.190569,-17.249029
38621,,9.384234,-2.861664,1.723624,0.028669,0.001304,-0.001661,-57.137089,-71.190962,-17.252557
38622,,9.313122,-2.805373,1.711462,0.015102,0.003303,0.001020,-57.176428,-71.174304,-17.207433
38623,,9.367532,-2.815968,1.689874,0.000035,0.004046,0.005714,-57.175933,-71.170292,-17.207933
38624,,9.347462,-2.846239,1.762662,-0.012424,0.002291,0.004528,-57.239553,-71.151302,-17.154759
38625,,9.358878,-2.817873,1.777694,-0.010388,0.005999,0.002080,-57.238965,-71.148428,-17.161672
38626,,9.371921,-2.865120,1.778973,-0.008352,0.009708,-0.000367,-57.280064,-71.128975,-17.129032
38627,,9.317170,-2.854714,1.802041,-0.003368,0.013884,-0.001838,-57.260801,-71.125545,-17.151433
38628,,9.340161,-2.823508,1.764712,-0.003294,0.009271,0.000879,-57.301975,-71.103350,-17.116443
38629,,9.288693,-2.838192,1.753890,0.001994,0.012365,0.000551,-57.283989,-71.099224,-17.134261
38630,,9.343044,-2.848611,1.732971,0.004105,0.011462,0.000821,-57.311998,-71.075507,-17.106449
38631,,9.336259,-2.824983,1.733756,0.004773,0.011349,-0.001899,-57.291690,-71.072876,-17.125037
38632,,9.360868,-2.842967,1.750693,-0.000956,0.011897,-0.000426,-57.327592,-71.046600,-17.092352
38633,,9.360639,-2.842939,1.751965,0.002523,0.014814,0.000118,-57.305525,-71.041947,-17.114154
38634,,9.375298,-2.838946,1.734572,0.001915,0.016974,-0.002164,-57.341583,-71.013698,-17.085649
38635,,9.335366,-2.824506,1.739327,-0.002006,0.017699,-0.001563,-57.316608,-71.008925,-17.113307
38636,,9.301993,-2.833754,1.744417,-0.009848,0.019149,-0.000362,-57.336863,-70.984099,-17.102369
38637,,9.338137,-2.849724,1.708227,-0.013025,0.015151,0.000234,-57.323432,-70.979243,-17.124499
38638,,9.347666,-2.872020,1.744185,-0.013469,0.018792,0.001381,-57.360449,-70.950149,-17.101510
38639,,9.322556,-2.854232,1.729671,-0.016418,0.018323,0.000402,-57.344654,-70.944242,-17.128211
38640,,9.325592,-2.879565,1.697023,-0.011361,0.017886,0.001654,-57.391504,-70.910710,-17.093914
38641,,9.331906,-2.903254,1.698695,-0.011527,0.016405,-0.001775,-57.373716,-70.906431,-17.119775
38642,,9.349920,-2.897639,1.715290,-0.003848,0.013475,-0.006401,-57.401686,-70.884336,-17.099577
38643,,9.346658,-2.898561,1.682192,0.000907,0.014120,-0.006290,-57.376062,-70.882893,-17.126219
38644,,9.353250,-2.921410,1.683801,-0.002875,0.012283,-0.007980,-57.404153,-70.862729,-17.105268
38645,,9.308458,-2.932296,1.741655,-0.003180,0.013363,-0.009120,-57.379454,-70.862867,-17.133425
38646,,9.323508,-2.927453,1.723799,0.000883,0.010078,-0.012006,-57.415194,-70.838917,-17.097256
38647,,9.330162,-2.950142,1.725356,0.008380,0.011701,-0.003624,-57.391248,-70.836900,-17.117593
38648,,9.311957,-2.955126,1.710957,0.009737,0.004820,-0.001348,-57.447023,-70.805813,-17.054764
38649,,9.308535,-2.929657,1.745680,0.010104,0.005789,-0.005208,-57.429183,-70.806338,-17.067582
38650,,9.323465,-2.925328,1.727631,0.010569,0.006189,-0.000638,-57.474070,-70.780924,-17.020909
38651,,9.316795,-2.901507,1.728060,0.011544,0.004998,-0.002216,-57.459143,-70.780254,-17.029771
38652,,9.301818,-2.904979,1.747780,0.009431,0.005899,-0.002488,-57.499384,-70.756639,-16.984905
38653,,9.326508,-2.922728,1.764551,0.008151,0.008169,-0.002051,-57.482064,-70.754970,-16.998332
38654,,9.290144,-2.933187,1.734746,0.008983,0.009538,-0.001341,-57.524192,-70.726965,-16.954331
38655,,9.308406,-2.954234,1.682822,0.007253,0.004752,0.002242,-57.516026,-70.724240,-16.958615
38656,,9.289818,-2.933130,1.736588,0.015481,0.008312,0.002906,-57.576142,-70.686953,-16.884911
38657,,9.312833,-2.902144,1.699475,0.015415,0.006265,0.007908,-57.566298,-70.681051,-16.885969
38658,,9.297556,-2.906541,1.719201,0.008019,0.004074,0.007954,-57.641664,-70.643807,-16.806100
38659,,9.320261,-2.849483,1.749751,0.004401,0.003719,0.009691,-57.643440,-70.637761,-16.801531
38660,,9.351313,-2.891778,1.766510,-0.002096,0.004944,0.005442,-57.704014,-70.611588,-16.755306
38661,,9.362506,-2.863535,1.782181,-0.005935,0.011757,0.006751,-57.698029,-70.604457,-16.765292
38662,,9.362427,-2.890793,1.714737,-0.013938,0.011726,0.004512,-57.761269,-70.570528,-16.708694
38663,,9.295851,-2.910092,1.722408,-0.015893,0.014108,0.007668,-57.758616,-70.562255,-16.721170
38664,,9.265823,-2.945242,1.692532,-0.014167,0.008196,0.006086,-57.811682,-70.537425,-16.684181
38665,,9.283587,-2.940714,1.708460,-0.008278,0.009128,0.008053,-57.811811,-70.530466,-16.689106
38666,,9.304474,-2.934656,1.758885,-0.002244,0.007500,0.007732,-57.852614,-70.505757,-16.639321
38667,,9.302820,-2.885812,1.705479,0.004161,0.006841,0.003551,-57.845188,-70.501644,-16.644663
38668,,9.292552,-2.837592,1.739626,-0.000593,0.006198,0.003435,-57.880749,-70.482700,-16.613821
38669,,9.290626,-2.888456,1.760135,-0.003244,0.011307,-0.004123,-57.864821,-70.480952,-16.632693
38670,,9.277407,-2.841062,1.760028,-0.009967,0.009007,-0.006801,-57.902183,-70.462438,-16.609652
38671,,9.250944,-2.873259,1.764583,-0.007629,0.011631,-0.008099,-57.885051,-70.462452,-16.632507
38672,,9.277750,-2.866703,1.693191,-0.009508,0.009405,-0.002230,-57.924988,-70.440995,-16.590057
38673,,9.300654,-2.935530,1.729260,-0.000910,0.003239,-0.003423,-57.919524,-70.441362,-16.596385
38674,,9.414934,-2.903768,1.700381,0.004755,0.000644,0.000117,-57.954078,-70.426704,-16.569082
38675,,9.452921,-2.842000,1.711901,-0.000078,0.004607,-0.002713,-57.946746,-70.426310,-16.576917
38676,,9.434390,-2.820639,1.765402,-0.009285,0.012931,-0.003801,-57.974118,-70.409337,-16.538500
38677,,9.392826,-2.857235,1.788591,-0.021662,0.006569,-0.002308,-57.976803,-70.408283,-16.548717
38678,,9.338446,-2.873354,1.742503,-0.023329,0.014523,-0.005722,-57.992012,-70.397588,-16.548167
38679,,9.308442,-2.880907,1.780696,-0.023713,0.009515,-0.007581,-57.987423,-70.398192,-16.567348
38680,,9.281992,-2.913296,1.784892,-0.014203,0.010805,-0.007344,-58.014715,-70.384211,-16.551507
38681,,9.282029,-2.912893,1.785360,-0.014733,0.008356,-0.006915,-58.007253,-70.384809,-16.568286
38682,,9.293493,-2.883778,1.800960,-0.009821,0.010479,-0.003365,-58.029415,-70.371032,-16.551296
38683,,9.308442,-2.879652,1.782722,-0.004613,0.007488,-0.004397,-58.019665,-70.370633,-16.564346
38684,,9.293325,-2.883393,1.802440,-0.007329,0.014581,-0.001230,-58.036432,-70.354205,-16.551485
38685,,9.283786,-2.887854,1.700715,-0.000608,0.016883,0.001454,-58.016680,-70.348099,-16.572712
38686,,9.284763,-2.937339,1.756394,-0.003332,0.019941,-0.001100,-58.014317,-70.333604,-16.577136
38687,,9.280916,-2.912408,1.791923,-0.001441,0.015513,0.000743,-57.996439,-70.328237,-16.596874
38688,,9.317208,-2.928300,1.756116,0.002638,0.016268,0.003582,-58.010669,-70.307687,-16.585730
38689,,9.331861,-2.924533,1.738985,0.003840,0.018605,0.000436,-57.985526,-70.301457,-16.609998
